,ds,test
0,02/01/2013,68.0
1,03/01/2013,36.0
2,04/01/2013,5565.0
3,05/01/2013,4966.0
4,06/01/2013,3346.0
5,07/01/2013,3396.0
6,08/01/2013,4146.0
7,09/01/2013,3096.0
8,10/01/2013,2713.0
9,11/01/2013,2409.0
10,12/01/2013,275.0
11,13/01/2013,0.0
12,14/01/2013,2735.0
13,15/01/2013,2386.0
14,16/01/2013,1901.0
15,17/01/2013,6072.0
16,18/01/2013,2716.0
17,19/01/2013,216.0
18,20/01/2013,22.0
19,21/01/2013,3903.0
20,22/01/2013,2700.0
21,23/01/2013,2700.0
22,24/01/2013,2073.0
23,25/01/2013,1702.0
24,26/01/2013,231.0
25,27/01/2013,0.0
26,28/01/2013,3377.0
27,29/01/2013,3016.0
28,30/01/2013,2586.0
29,31/01/2013,1652.0
30,01/02/2013,2726.0
31,02/02/2013,279.0
32,03/02/2013,23.0
33,04/02/2013,4094.0
34,05/02/2013,4059.0
35,06/02/2013,3741.0
36,07/02/2013,2567.0
37,08/02/2013,761.0
38,09/02/2013,0.0
39,10/02/2013,0.0
40,11/02/2013,0.0
41,12/02/2013,0.0
42,13/02/2013,0.0
43,14/02/2013,19.0
44,15/02/2013,13.0
45,16/02/2013,2847.0
46,17/02/2013,2936.0
47,18/02/2013,2377.0
48,19/02/2013,1740.0
49,20/02/2013,2563.0
50,21/02/2013,1896.0
51,22/02/2013,1552.0
52,23/02/2013,186.0
53,24/02/2013,0.0
54,25/02/2013,1874.0
55,26/02/2013,1844.0
56,27/02/2013,1919.0
57,28/02/2013,1191.0
58,01/03/2013,1816.0
59,02/03/2013,87.0
60,03/03/2013,0.0
61,04/03/2013,1843.0
62,05/03/2013,1900.0
63,06/03/2013,1615.0
64,07/03/2013,1461.0
65,08/03/2013,1514.0
66,09/03/2013,180.0
67,10/03/2013,41.0
68,11/03/2013,1933.0
69,12/03/2013,1812.0
70,13/03/2013,1763.0
71,14/03/2013,1386.0
72,15/03/2013,1345.0
73,16/03/2013,113.0
74,17/03/2013,0.0
75,18/03/2013,1797.0
76,19/03/2013,1889.0
77,20/03/2013,1445.0
78,21/03/2013,1452.0
79,22/03/2013,1559.0
80,23/03/2013,198.0
81,24/03/2013,0.0
82,25/03/2013,1739.0
83,26/03/2013,1794.0
84,27/03/2013,1464.0
85,28/03/2013,1279.0
86,29/03/2013,1601.0
87,30/03/2013,171.0
88,31/03/2013,22.0
89,01/04/2013,744.0
90,02/04/2013,2424.0
91,03/04/2013,1959.0
92,04/04/2013,60.0
93,05/04/2013,51.0
94,06/04/2013,30.0
95,07/04/2013,1929.0
96,08/04/2013,1745.0
97,09/04/2013,2143.0
98,10/04/2013,1709.0
99,11/04/2013,1294.0
100,12/04/2013,1527.0
101,13/04/2013,198.0
102,14/04/2013,0.0
103,15/04/2013,2164.0
104,16/04/2013,1631.0
105,17/04/2013,1859.0
106,18/04/2013,1447.0
107,19/04/2013,1514.0
108,20/04/2013,137.0
109,21/04/2013,36.0
110,22/04/2013,2104.0
111,23/04/2013,1584.0
112,24/04/2013,1449.0
113,25/04/2013,1102.0
114,26/04/2013,1774.0
115,27/04/2013,1462.0
116,28/04/2013,1626.0
117,29/04/2013,73.0
118,30/04/2013,0.0
119,01/05/2013,0.0
120,02/05/2013,2484.0
121,03/05/2013,1723.0
122,04/05/2013,104.0
123,05/05/2013,0.0
124,06/05/2013,2427.0
125,07/05/2013,2587.0
126,08/05/2013,2220.0
127,09/05/2013,1142.0
128,10/05/2013,1934.0
129,11/05/2013,121.0
130,12/05/2013,23.0
131,13/05/2013,2509.0
132,14/05/2013,2284.0
133,15/05/2013,2068.0
134,16/05/2013,1088.0
135,17/05/2013,2030.0
136,18/05/2013,38.0
137,19/05/2013,0.0
138,20/05/2013,1940.0
139,21/05/2013,2342.0
140,22/05/2013,5581.0
141,23/05/2013,2333.0
