,week_no,day_of_week,brand,date,cnt_x,brand_fill,ds,lunar_day,is_holiday,after_holiday_type,after_holiday,before_holiday_type,before_holiday,last_workday_before_holiday,is_week_end,is_work,index,cnt_y,spring_sunday,is_norm_sunday,is_saturday,is_redundent_sunday,is_after_new_year,month,day,year
0,1,3,7,2,30,7,02/01/2013,1221,1,6,,,,,1,0,0,68,0,0,0,0,1,1,2,2013
1,1,4,7,3,,7,03/01/2013,1222,1,6,,,,,1,0,1,36,0,0,0,0,1,1,3,2013
2,1,5,7,4,257,7,04/01/2013,1223,0,6,1,,,,1,1,2,5565,0,0,0,0,1,1,4,2013
3,1,6,7,5,354,7,05/01/2013,1224,0,6,0.95,,,,0,1,3,4966,0,0,1,0,1,1,5,2013
4,1,7,7,6,167,7,06/01/2013,1225,0,6,0.9,,,,0,1,4,3346,1,0,0,0,1,1,6,2013
5,2,1,7,7,232,7,07/01/2013,1226,0,6,0.85,,,,1,1,5,3396,0,0,0,0,1,1,7,2013
6,2,2,7,8,386,7,08/01/2013,1227,0,6,0.8,,,,1,1,6,4146,0,0,0,0,1,1,8,2013
7,2,3,7,9,270,7,09/01/2013,1228,0,6,0.75,,,,1,1,7,3096,0,0,0,0,0,1,9,2013
8,2,4,7,10,165,7,10/01/2013,1229,0,6,0.7,,,,1,1,8,2713,0,0,0,0,0,1,10,2013
9,2,5,7,11,154,7,11/01/2013,1230,0,6,0.65,,,,1,1,9,2409,0,0,0,0,0,1,11,2013
10,2,6,7,12,64,7,12/01/2013,1301,0,6,0.6,,,,0,1,10,275,0,0,0,0,0,1,12,2013
11,2,7,7,13,,7,13/01/2013,1302,0,6,0.55,,,,0,0,11,,0,1,0,0,0,1,13,2013
12,3,1,7,14,257,7,14/01/2013,1303,0,6,0.5,,,,1,1,12,2735,0,0,0,0,0,1,14,2013
13,3,2,7,15,161,7,15/01/2013,1304,0,6,0.45,,,,1,1,13,2386,0,0,0,0,0,1,15,2013
14,3,3,7,16,240,7,16/01/2013,1305,0,6,0.4,,,,1,1,14,1901,0,0,0,0,0,1,16,2013
15,3,4,7,17,802,7,17/01/2013,1306,0,6,0.35,,,,1,1,15,6072,0,0,0,0,0,1,17,2013
16,3,5,7,18,206,7,18/01/2013,1307,0,6,0.3,,,,1,1,16,2716,0,0,0,0,0,1,18,2013
17,3,6,7,19,32,7,19/01/2013,1308,0,6,0.25,,,,0,1,17,216,0,0,0,0,0,1,19,2013
18,3,7,7,20,28,7,20/01/2013,1309,0,6,0.2,,,,0,0,18,22,0,1,0,0,0,1,20,2013
19,4,1,7,21,129,7,21/01/2013,1310,0,6,0.15,,,,1,1,19,3903,0,0,0,0,0,1,21,2013
20,4,2,7,22,322,7,22/01/2013,1311,0,6,0.1,,,,1,1,20,2700,0,0,0,0,0,1,22,2013
21,4,3,7,23,120,7,23/01/2013,1312,0,6,0.05,,,,1,1,21,2700,0,0,0,0,0,1,23,2013
22,4,4,7,24,212,7,24/01/2013,1313,0,,,,,,1,1,22,2073,0,0,0,0,0,1,24,2013
23,4,5,7,25,180,7,25/01/2013,1314,0,,,,,,1,1,23,1702,0,0,0,0,0,1,25,2013
24,4,6,7,26,32,7,26/01/2013,1315,0,,,,,,0,1,24,231,0,0,0,0,0,1,26,2013
25,4,7,7,27,,7,27/01/2013,1316,0,,,,,,0,0,25,,0,1,0,0,0,1,27,2013
26,5,1,7,28,206,7,28/01/2013,1317,0,,,,,,1,1,26,3377,0,0,0,0,0,1,28,2013
27,5,2,7,29,257,7,29/01/2013,1318,0,,,,,,1,1,27,3016,0,0,0,0,0,1,29,2013
28,5,3,7,30,270,7,30/01/2013,1319,0,,,7,0.05,,1,1,28,2586,0,0,0,0,0,1,30,2013
29,5,4,7,31,212,7,31/01/2013,1320,0,,,7,0.1,,1,1,29,1652,0,0,0,0,0,1,31,2013
30,5,5,7,32,232,7,01/02/2013,1321,0,,,7,0.15,,1,1,30,2726,0,0,0,0,0,2,1,2013
31,5,6,7,33,32,7,02/02/2013,1322,0,,,7,0.2,,0,1,31,279,0,0,0,0,0,2,2,2013
32,5,7,7,34,,7,03/02/2013,1323,0,,,7,0.25,,0,0,32,23,0,1,0,0,0,2,3,2013
33,6,1,7,35,386,7,04/02/2013,1324,0,,,7,0.3,,1,1,33,4094,0,0,0,0,0,2,4,2013
34,6,2,7,36,322,7,05/02/2013,1325,0,,,7,0.35,,1,1,34,4059,0,0,0,0,0,2,5,2013
35,6,3,7,37,270,7,06/02/2013,1326,0,,,7,0.4,,1,1,35,3741,0,0,0,0,0,2,6,2013
